Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,,,,,
1.58,2.51,,,,,
2.51,3.98,4.35e-09,-1.47,1.09,43.6,0
3.98,6.31,2.18e-07,-2.28,0.918,29.6,0.142
6.31,10,1.01e-06,-3.19,1.39,25.5,0.141
10,15.8,2.87e-06,-4.83,2.02,20,0.194
15.8,25.1,6.67e-06,-6.6,2.99,16.4,0.201
25.1,39.8,1.31e-05,-9.56,4.71,12.9,0.281
39.8,63.1,2.36e-05,-15.6,6.71,10.1,0.282
63.1,100,3.98e-05,-22.6,11.2,8.51,0.29
