Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,1.67e-09,-0.344,0.61,30.1,0.0625
1.58,2.51,8.48e-09,-0.753,0.655,27,0.174
2.51,3.98,3.77e-08,-1.22,0.791,30.6,0.098
3.98,6.31,1.36e-07,-2.17,1.28,27.9,0.121
6.31,10,3.27e-07,-3.65,1.81,24,0.129
10,15.8,8.03e-07,-6.15,2.75,21.5,0.148
15.8,25.1,1.85e-06,-10.7,4.01,20.5,0.282
25.1,39.8,3.72e-06,-18.4,7.01,18.8,0.245
39.8,63.1,5.48e-06,-25.9,10.3,12.7,0.362
63.1,100,8.52e-06,-48.6,16.1,14,0.222
