Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,1.36e-07,0.00933,0.263,44,0.0605
1.58,2.51,4.52e-07,0.0105,0.369,35.2,0.0786
2.51,3.98,9.83e-07,0.00692,0.507,30.4,0.0769
3.98,6.31,1.74e-06,0.00684,0.746,23.9,0.0856
6.31,10,3e-06,0.00325,1.1,20.6,0.134
10,15.8,4.75e-06,-0.126,1.52,16.3,0.188
15.8,25.1,7.62e-06,0.0319,2.42,13.5,0.257
25.1,39.8,1.15e-05,-0.128,3.37,12.2,0.305
39.8,63.1,1.55e-05,0.167,4.38,9.64,0.304
63.1,100,2.38e-05,0.289,7.34,8.53,0.305
