Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,4.65e-09,-0.316,0.362,47,0.0556
1.58,2.51,2.7e-08,-0.585,0.479,36.3,0.0927
2.51,3.98,1.25e-07,-0.937,0.707,34.8,0.105
3.98,6.31,3.92e-07,-1.51,1.16,29.8,0.124
6.31,10,1.01e-06,-2.72,1.75,24.6,0.13
10,15.8,2.2e-06,-4.64,2.8,20.1,0.17
15.8,25.1,3.89e-06,-8.22,4.73,18.1,0.218
25.1,39.8,6.89e-06,-14.2,7.94,15.3,0.259
39.8,63.1,1.17e-05,-23.6,11.2,12.2,0.304
63.1,100,1.87e-05,-39,18.4,10.6,0.29
