Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,4.56e-09,-0.491,0.423,35.2,0.209
1.58,2.51,2.71e-08,-0.559,0.493,44.1,0.093
2.51,3.98,1.2e-07,-0.876,0.654,33,0.0949
3.98,6.31,3.95e-07,-1.59,1.11,27.3,0.118
6.31,10,1.04e-06,-2.53,1.87,23.3,0.114
10,15.8,2.17e-06,-4.8,2.93,19.5,0.177
15.8,25.1,3.99e-06,-8.18,4.27,18.7,0.219
25.1,39.8,6.73e-06,-14,7.13,15,0.244
39.8,63.1,1.09e-05,-24.5,12.1,14.5,0.281
63.1,100,1.91e-05,-41.4,17.9,8.89,0.301
