Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,4.75e-09,-0.259,0.408,76.5,0.143
1.58,2.51,2.77e-08,-0.484,0.528,39,0.113
2.51,3.98,1.39e-07,-0.941,0.712,31.9,0.122
3.98,6.31,4.27e-07,-1.48,1.08,26.8,0.11
6.31,10,1.04e-06,-2.77,1.78,25.8,0.134
10,15.8,2.27e-06,-4.82,2.77,22.7,0.159
15.8,25.1,3.86e-06,-8.18,5.06,17.9,0.205
25.1,39.8,6.71e-06,-14.6,7.42,15.7,0.259
39.8,63.1,1.18e-05,-23.4,12.1,11.7,0.281
63.1,100,1.82e-05,-37.6,20.3,10.7,0.309
